,WhPerMile,kWhRequested,milesRequested,minutesAvailable,modifiedAt,paymentRequired,requestedDeparture,userID
0,1428,114.24,80,360,"Mon, 21 Sep 2020 20:22:10 GMT",True,"Tue, 22 Sep 2020 02:21:49 GMT",6620
0,1428,114.24,80,360,"Tue, 22 Sep 2020 15:16:03 GMT",True,"Tue, 22 Sep 2020 21:15:42 GMT",6620
0,258,72.24,280,1385,"Tue, 22 Sep 2020 20:26:45 GMT",True,"Wed, 23 Sep 2020 19:31:45 GMT",6140
0,1428,114.24,80,360,"Fri, 25 Sep 2020 15:55:00 GMT",True,"Fri, 25 Sep 2020 21:54:47 GMT",6620
0,258,72.24,280,1385,"Fri, 25 Sep 2020 18:51:28 GMT",True,"Sat, 26 Sep 2020 17:56:29 GMT",6140
0,1428,114.24,80,360,"Mon, 28 Sep 2020 15:35:44 GMT",True,"Mon, 28 Sep 2020 21:35:29 GMT",6620
0,1428,114.24,80,360,"Tue, 29 Sep 2020 15:49:21 GMT",True,"Tue, 29 Sep 2020 21:48:06 GMT",6620
0,1428,114.24,80,360,"Wed, 30 Sep 2020 15:44:27 GMT",True,"Wed, 30 Sep 2020 21:43:46 GMT",6620
0,1428,114.24,80,360,"Fri, 02 Oct 2020 15:28:25 GMT",True,"Fri, 02 Oct 2020 21:28:15 GMT",6620
0,1428,114.24,80,360,"Mon, 05 Oct 2020 15:20:13 GMT",True,"Mon, 05 Oct 2020 21:19:52 GMT",6620
0,258,72.24,280,1385,"Mon, 05 Oct 2020 19:55:45 GMT",True,"Tue, 06 Oct 2020 19:00:46 GMT",6140
0,1428,114.24,80,360,"Tue, 06 Oct 2020 16:48:43 GMT",True,"Tue, 06 Oct 2020 22:48:06 GMT",6620
0,1428,114.24,80,360,"Wed, 07 Oct 2020 15:41:44 GMT",True,"Wed, 07 Oct 2020 21:41:34 GMT",6620
0,1428,114.24,80,360,"Thu, 08 Oct 2020 18:01:40 GMT",True,"Fri, 09 Oct 2020 00:01:23 GMT",6620
0,1428,114.24,80,360,"Fri, 09 Oct 2020 17:12:52 GMT",True,"Fri, 09 Oct 2020 23:12:44 GMT",6620
0,1428,114.24,80,360,"Mon, 12 Oct 2020 15:37:59 GMT",True,"Mon, 12 Oct 2020 21:37:46 GMT",6620
0,1428,114.24,80,360,"Tue, 13 Oct 2020 17:33:27 GMT",True,"Tue, 13 Oct 2020 23:33:14 GMT",6620
0,1428,114.24,80,360,"Thu, 15 Oct 2020 15:21:43 GMT",True,"Thu, 15 Oct 2020 21:21:33 GMT",6620
0,1428,114.24,80,360,"Fri, 16 Oct 2020 15:13:32 GMT",True,"Fri, 16 Oct 2020 21:13:17 GMT",6620
0,258,72.24,280,1385,"Fri, 16 Oct 2020 22:50:11 GMT",True,"Sat, 17 Oct 2020 21:55:11 GMT",6140
0,1428,114.24,80,360,"Mon, 19 Oct 2020 15:59:46 GMT",True,"Mon, 19 Oct 2020 21:59:28 GMT",6620
0,1428,114.24,80,360,"Tue, 20 Oct 2020 16:24:56 GMT",True,"Tue, 20 Oct 2020 22:24:37 GMT",6620
0,1428,114.24,80,360,"Wed, 21 Oct 2020 16:39:36 GMT",True,"Wed, 21 Oct 2020 22:37:45 GMT",6620
0,1428,114.24,80,360,"Thu, 22 Oct 2020 16:25:45 GMT",True,"Thu, 22 Oct 2020 22:25:05 GMT",6620
0,258,72.24,280,1385,"Thu, 22 Oct 2020 20:26:51 GMT",True,"Fri, 23 Oct 2020 19:31:51 GMT",6140
0,1428,114.24,80,360,"Fri, 23 Oct 2020 14:51:24 GMT",True,"Fri, 23 Oct 2020 20:51:14 GMT",6620
0,1428,114.24,80,360,"Mon, 26 Oct 2020 15:39:26 GMT",True,"Mon, 26 Oct 2020 21:38:36 GMT",6620
0,258,72.24,280,1385,"Tue, 27 Oct 2020 00:34:08 GMT",True,"Tue, 27 Oct 2020 23:39:09 GMT",6140
0,1428,114.24,80,360,"Tue, 27 Oct 2020 17:18:03 GMT",True,"Tue, 27 Oct 2020 23:17:54 GMT",6620
0,1428,114.24,80,360,"Wed, 28 Oct 2020 15:48:03 GMT",True,"Wed, 28 Oct 2020 21:47:48 GMT",6620
0,1428,114.24,80,360,"Thu, 29 Oct 2020 18:00:36 GMT",True,"Fri, 30 Oct 2020 00:00:28 GMT",6620
0,258,72.24,280,1385,"Thu, 29 Oct 2020 20:39:53 GMT",True,"Fri, 30 Oct 2020 19:44:53 GMT",6140
0,1428,142.8,100,480,"Fri, 30 Oct 2020 17:02:36 GMT",True,"Sat, 31 Oct 2020 01:02:24 GMT",6620
0,1428,114.24,80,360,"Mon, 02 Nov 2020 17:24:09 GMT",True,"Mon, 02 Nov 2020 23:13:27 GMT",6620
0,1428,114.24,80,360,"Wed, 04 Nov 2020 16:26:46 GMT",True,"Wed, 04 Nov 2020 22:26:25 GMT",6620
0,1428,114.24,80,360,"Thu, 05 Nov 2020 17:24:17 GMT",True,"Thu, 05 Nov 2020 23:24:02 GMT",6620
0,1428,114.24,80,360,"Fri, 06 Nov 2020 16:50:34 GMT",True,"Fri, 06 Nov 2020 22:49:40 GMT",6620
0,258,72.24,280,1385,"Fri, 06 Nov 2020 22:16:37 GMT",True,"Sat, 07 Nov 2020 21:21:38 GMT",6140
0,1428,114.24,80,360,"Mon, 09 Nov 2020 16:29:16 GMT",True,"Mon, 09 Nov 2020 22:28:27 GMT",6620
0,1428,114.24,80,360,"Wed, 11 Nov 2020 18:35:43 GMT",True,"Thu, 12 Nov 2020 00:35:09 GMT",6620
0,1428,114.24,80,360,"Fri, 13 Nov 2020 17:20:48 GMT",True,"Fri, 13 Nov 2020 23:20:13 GMT",6620
0,1428,114.24,80,360,"Mon, 16 Nov 2020 17:13:54 GMT",True,"Mon, 16 Nov 2020 23:13:42 GMT",6620
0,258,72.24,280,1385,"Mon, 16 Nov 2020 22:22:14 GMT",True,"Tue, 17 Nov 2020 21:27:14 GMT",6140
0,1428,114.24,80,360,"Tue, 17 Nov 2020 17:21:32 GMT",True,"Tue, 17 Nov 2020 23:21:07 GMT",6620
0,1428,114.24,80,360,"Wed, 18 Nov 2020 19:01:06 GMT",True,"Thu, 19 Nov 2020 01:00:46 GMT",6620
0,1428,114.24,80,360,"Fri, 20 Nov 2020 18:00:15 GMT",True,"Sat, 21 Nov 2020 00:00:01 GMT",6620
0,1428,114.24,80,360,"Mon, 23 Nov 2020 18:18:31 GMT",True,"Tue, 24 Nov 2020 00:18:12 GMT",6620
0,1428,114.24,80,360,"Tue, 24 Nov 2020 19:06:30 GMT",True,"Wed, 25 Nov 2020 01:06:16 GMT",6620
0,258,72.24,280,1385,"Tue, 24 Nov 2020 23:06:03 GMT",True,"Wed, 25 Nov 2020 22:11:03 GMT",6140
0,1428,114.24,80,360,"Wed, 25 Nov 2020 16:43:27 GMT",True,"Wed, 25 Nov 2020 22:43:13 GMT",6620
0,1428,114.24,80,360,"Mon, 30 Nov 2020 16:55:21 GMT",True,"Mon, 30 Nov 2020 22:55:06 GMT",6620
0,1428,114.24,80,360,"Tue, 01 Dec 2020 17:17:59 GMT",True,"Tue, 01 Dec 2020 23:17:49 GMT",6620
0,1428,114.24,80,360,"Thu, 03 Dec 2020 19:24:44 GMT",True,"Fri, 04 Dec 2020 01:24:15 GMT",6620
0,258,72.24,280,1385,"Fri, 04 Dec 2020 19:58:09 GMT",True,"Sat, 05 Dec 2020 19:03:09 GMT",6140
0,1428,114.24,80,360,"Mon, 07 Dec 2020 16:30:39 GMT",True,"Mon, 07 Dec 2020 22:30:12 GMT",6620
0,1428,114.24,80,360,"Tue, 08 Dec 2020 17:23:56 GMT",True,"Tue, 08 Dec 2020 23:23:27 GMT",6620
0,258,72.24,280,1385,"Wed, 09 Dec 2020 01:02:10 GMT",True,"Thu, 10 Dec 2020 00:07:11 GMT",6140
0,1428,114.24,80,360,"Mon, 14 Dec 2020 16:32:50 GMT",True,"Mon, 14 Dec 2020 22:32:33 GMT",6620
0,1428,114.24,80,360,"Tue, 15 Dec 2020 17:16:10 GMT",True,"Tue, 15 Dec 2020 23:15:57 GMT",6620
0,1428,114.24,80,360,"Wed, 16 Dec 2020 16:31:31 GMT",True,"Wed, 16 Dec 2020 22:31:06 GMT",6620
0,1428,114.24,80,360,"Thu, 17 Dec 2020 17:40:05 GMT",True,"Thu, 17 Dec 2020 23:39:48 GMT",6620
0,258,72.24,280,1385,"Thu, 17 Dec 2020 18:34:18 GMT",True,"Fri, 18 Dec 2020 17:39:19 GMT",6140
0,1428,114.24,80,360,"Fri, 18 Dec 2020 17:04:18 GMT",True,"Fri, 18 Dec 2020 23:03:56 GMT",6620
0,1428,114.24,80,360,"Mon, 21 Dec 2020 19:10:58 GMT",True,"Tue, 22 Dec 2020 01:10:37 GMT",6620
0,1428,114.24,80,360,"Tue, 22 Dec 2020 18:30:57 GMT",True,"Wed, 23 Dec 2020 00:30:34 GMT",6620
0,1428,114.24,80,360,"Wed, 23 Dec 2020 19:23:14 GMT",True,"Thu, 24 Dec 2020 01:22:46 GMT",6620
0,258,72.24,280,1385,"Wed, 23 Dec 2020 23:10:45 GMT",True,"Thu, 24 Dec 2020 22:15:46 GMT",6140
0,258,72.24,280,1385,"Sun, 27 Dec 2020 01:54:16 GMT",True,"Mon, 28 Dec 2020 00:59:09 GMT",6140
0,1428,114.24,80,360,"Mon, 28 Dec 2020 21:44:42 GMT",True,"Tue, 29 Dec 2020 03:44:12 GMT",6620
0,1428,114.24,80,360,"Tue, 29 Dec 2020 18:52:47 GMT",True,"Wed, 30 Dec 2020 00:52:33 GMT",6620
0,1428,114.24,80,360,"Wed, 30 Dec 2020 20:25:14 GMT",True,"Thu, 31 Dec 2020 02:25:06 GMT",6620
0,258,72.24,280,1385,"Thu, 31 Dec 2020 21:46:16 GMT",True,"Fri, 01 Jan 2021 20:51:17 GMT",6140
0,1428,114.24,80,360,"Sun, 03 Jan 2021 17:42:01 GMT",True,"Sun, 03 Jan 2021 23:41:36 GMT",6620
0,258,72.24,280,1385,"Mon, 04 Jan 2021 00:41:15 GMT",True,"Mon, 04 Jan 2021 23:46:16 GMT",6140
0,1428,114.24,80,360,"Mon, 04 Jan 2021 18:35:33 GMT",True,"Tue, 05 Jan 2021 00:34:49 GMT",6620
0,304,6.08,20,60,"Tue, 05 Jan 2021 00:17:11 GMT",True,"Tue, 05 Jan 2021 01:17:11 GMT",10209
0,304,6.08,20,60,"Tue, 05 Jan 2021 18:39:47 GMT",True,"Tue, 05 Jan 2021 19:39:48 GMT",10209
0,304,6.08,20,60,"Tue, 05 Jan 2021 22:18:10 GMT",True,"Tue, 05 Jan 2021 23:18:11 GMT",10209
0,258,72.24,280,1385,"Wed, 06 Jan 2021 16:36:25 GMT",True,"Thu, 07 Jan 2021 15:41:16 GMT",6140
0,1428,114.24,80,360,"Wed, 06 Jan 2021 17:27:35 GMT",True,"Wed, 06 Jan 2021 23:27:21 GMT",6620
0,304,6.08,20,60,"Thu, 07 Jan 2021 16:34:00 GMT",True,"Thu, 07 Jan 2021 17:34:01 GMT",10209
0,1428,114.24,80,360,"Fri, 08 Jan 2021 15:54:22 GMT",True,"Fri, 08 Jan 2021 21:53:57 GMT",6620
0,1428,114.24,80,360,"Mon, 11 Jan 2021 16:18:06 GMT",True,"Mon, 11 Jan 2021 22:17:43 GMT",6620
0,304,6.08,20,60,"Mon, 11 Jan 2021 22:58:39 GMT",True,"Mon, 11 Jan 2021 23:58:39 GMT",10209
0,258,72.24,280,1385,"Tue, 12 Jan 2021 23:09:13 GMT",True,"Wed, 13 Jan 2021 22:14:13 GMT",6140
0,1428,114.24,80,360,"Wed, 13 Jan 2021 16:21:49 GMT",True,"Wed, 13 Jan 2021 22:21:04 GMT",6620
0,258,72.24,280,1385,"Thu, 14 Jan 2021 00:30:46 GMT",True,"Thu, 14 Jan 2021 23:35:46 GMT",6140
0,1428,114.24,80,360,"Thu, 14 Jan 2021 18:41:20 GMT",True,"Fri, 15 Jan 2021 00:41:10 GMT",6620
0,1428,114.24,80,360,"Fri, 15 Jan 2021 17:15:57 GMT",True,"Fri, 15 Jan 2021 23:15:38 GMT",6620
0,1428,114.24,80,360,"Mon, 18 Jan 2021 18:06:15 GMT",True,"Tue, 19 Jan 2021 00:06:16 GMT",6620
0,1428,114.24,80,360,"Tue, 19 Jan 2021 18:24:29 GMT",True,"Wed, 20 Jan 2021 00:24:20 GMT",6620
0,380,7.6,20,168,"Thu, 21 Jan 2021 21:14:33 GMT",True,"Thu, 21 Jan 2021 23:53:19 GMT",10598
0,258,72.24,280,1385,"Mon, 25 Jan 2021 20:04:57 GMT",True,"Tue, 26 Jan 2021 19:09:58 GMT",6140
0,1428,114.24,80,360,"Wed, 27 Jan 2021 16:17:53 GMT",True,"Wed, 27 Jan 2021 22:17:26 GMT",6620
0,258,72.24,280,1385,"Thu, 28 Jan 2021 19:48:37 GMT",True,"Fri, 29 Jan 2021 18:53:37 GMT",6140
0,1428,114.24,80,360,"Fri, 29 Jan 2021 16:38:38 GMT",True,"Fri, 29 Jan 2021 22:37:43 GMT",6620
0,1428,114.24,80,360,"Mon, 01 Feb 2021 17:24:35 GMT",True,"Mon, 01 Feb 2021 23:24:23 GMT",6620
0,1428,114.24,80,360,"Tue, 02 Feb 2021 21:14:14 GMT",True,"Wed, 03 Feb 2021 03:14:01 GMT",6620
0,1428,114.24,80,360,"Thu, 04 Feb 2021 19:20:56 GMT",True,"Fri, 05 Feb 2021 01:20:39 GMT",6620
0,350,10.5,30,252,"Fri, 05 Feb 2021 16:38:13 GMT",True,"Fri, 05 Feb 2021 20:50:14 GMT",10808
1,350,10.5,30,192,"Fri, 05 Feb 2021 16:43:46 GMT",True,"Fri, 05 Feb 2021 19:50:14 GMT",10808
0,1428,114.24,80,360,"Fri, 05 Feb 2021 17:29:40 GMT",True,"Fri, 05 Feb 2021 23:29:29 GMT",6620
0,1428,114.24,80,360,"Mon, 08 Feb 2021 17:24:40 GMT",True,"Mon, 08 Feb 2021 23:24:24 GMT",6620
0,350,10.5,30,252,"Tue, 09 Feb 2021 16:40:13 GMT",True,"Tue, 09 Feb 2021 20:52:13 GMT",10808
0,1428,114.24,80,360,"Tue, 09 Feb 2021 20:25:09 GMT",True,"Wed, 10 Feb 2021 02:24:49 GMT",6620
0,274,27.4,100,600,"Wed, 10 Feb 2021 17:28:25 GMT",True,"Thu, 11 Feb 2021 03:28:25 GMT",10924
1,274,52.06,190,600,"Wed, 10 Feb 2021 18:04:07 GMT",True,"Thu, 11 Feb 2021 03:28:25 GMT",10924
0,1428,114.24,80,360,"Wed, 10 Feb 2021 18:16:10 GMT",True,"Thu, 11 Feb 2021 00:15:57 GMT",6620
0,350,10.5,30,252,"Thu, 11 Feb 2021 16:22:08 GMT",True,"Thu, 11 Feb 2021 20:34:08 GMT",10808
1,350,10.5,30,480,"Thu, 11 Feb 2021 16:24:29 GMT",True,"Fri, 12 Feb 2021 00:22:08 GMT",10808
0,258,72.24,280,1385,"Fri, 12 Feb 2021 06:07:10 GMT",True,"Sat, 13 Feb 2021 05:12:10 GMT",6140
0,1428,114.24,80,360,"Fri, 12 Feb 2021 16:47:45 GMT",True,"Fri, 12 Feb 2021 22:47:21 GMT",6620
0,350,10.5,30,252,"Tue, 16 Feb 2021 16:36:17 GMT",True,"Tue, 16 Feb 2021 20:48:17 GMT",10808
0,1428,114.24,80,360,"Tue, 16 Feb 2021 16:44:44 GMT",True,"Tue, 16 Feb 2021 22:44:35 GMT",6620
0,350,10.5,30,252,"Tue, 16 Feb 2021 19:15:38 GMT",True,"Tue, 16 Feb 2021 23:27:38 GMT",10808
1,350,10.5,30,132,"Tue, 16 Feb 2021 19:15:58 GMT",True,"Tue, 16 Feb 2021 21:27:38 GMT",10808
0,1428,114.24,80,360,"Wed, 17 Feb 2021 16:44:59 GMT",True,"Wed, 17 Feb 2021 22:44:43 GMT",6620
0,1428,114.24,80,360,"Thu, 18 Feb 2021 18:18:06 GMT",True,"Fri, 19 Feb 2021 00:17:47 GMT",6620
0,258,72.24,280,1385,"Thu, 18 Feb 2021 21:48:45 GMT",True,"Fri, 19 Feb 2021 20:53:45 GMT",6140
0,350,35.0,100,480,"Fri, 19 Feb 2021 16:58:14 GMT",True,"Sat, 20 Feb 2021 00:40:41 GMT",10808
1,350,10.5,30,240,"Fri, 19 Feb 2021 16:58:35 GMT",True,"Fri, 19 Feb 2021 20:40:41 GMT",10808
0,1428,114.24,80,360,"Fri, 19 Feb 2021 18:50:29 GMT",True,"Sat, 20 Feb 2021 00:50:29 GMT",6620
0,1428,114.24,80,360,"Wed, 24 Feb 2021 17:37:26 GMT",True,"Wed, 24 Feb 2021 23:37:23 GMT",6620
0,1428,114.24,80,360,"Thu, 25 Feb 2021 19:56:33 GMT",True,"Fri, 26 Feb 2021 01:55:34 GMT",6620
0,258,72.24,280,1385,"Thu, 25 Feb 2021 19:59:28 GMT",True,"Fri, 26 Feb 2021 19:04:29 GMT",6140
0,1428,114.24,80,360,"Fri, 26 Feb 2021 19:58:17 GMT",True,"Sat, 27 Feb 2021 01:58:00 GMT",6620
0,350,10.5,30,252,"Mon, 01 Mar 2021 17:14:52 GMT",True,"Mon, 01 Mar 2021 21:02:53 GMT",10808
0,258,72.24,280,1385,"Mon, 01 Mar 2021 19:31:57 GMT",True,"Tue, 02 Mar 2021 18:36:57 GMT",6140
0,1428,114.24,80,360,"Mon, 01 Mar 2021 21:02:25 GMT",True,"Tue, 02 Mar 2021 03:02:09 GMT",6620
0,310,31.0,100,480,"Mon, 01 Mar 2021 22:58:07 GMT",True,"Tue, 02 Mar 2021 06:57:45 GMT",11242
1,310,31.0,100,480,"Mon, 01 Mar 2021 22:58:50 GMT",True,"Tue, 02 Mar 2021 06:57:45 GMT",11242
0,310,31.0,100,480,"Tue, 02 Mar 2021 18:23:15 GMT",True,"Wed, 03 Mar 2021 02:22:53 GMT",11242
0,1428,114.24,80,360,"Wed, 03 Mar 2021 16:42:21 GMT",True,"Wed, 03 Mar 2021 22:41:36 GMT",6620
0,350,10.5,30,252,"Wed, 03 Mar 2021 16:47:18 GMT",True,"Wed, 03 Mar 2021 20:59:19 GMT",10808
0,310,62.0,200,558,"Thu, 04 Mar 2021 18:40:39 GMT",True,"Fri, 05 Mar 2021 03:58:39 GMT",11242
1,310,65.1,210,662,"Thu, 04 Mar 2021 22:57:11 GMT",True,"Fri, 05 Mar 2021 05:42:39 GMT",11242
0,350,10.5,30,252,"Fri, 05 Mar 2021 16:42:50 GMT",True,"Fri, 05 Mar 2021 20:54:51 GMT",10808
0,1428,114.24,80,360,"Fri, 05 Mar 2021 16:43:17 GMT",True,"Fri, 05 Mar 2021 22:43:17 GMT",6620
0,274,65.76,240,778,"Fri, 05 Mar 2021 17:35:28 GMT",True,"Sat, 06 Mar 2021 06:33:28 GMT",10924
0,380,76.0,200,558,"Fri, 05 Mar 2021 17:49:48 GMT",True,"Sat, 06 Mar 2021 03:07:49 GMT",11242
1,380,38.0,100,764,"Fri, 05 Mar 2021 23:50:21 GMT",True,"Sat, 06 Mar 2021 06:33:49 GMT",11242
0,350,10.5,30,252,"Mon, 08 Mar 2021 16:47:21 GMT",True,"Mon, 08 Mar 2021 20:59:22 GMT",10808
0,1428,114.24,80,360,"Mon, 08 Mar 2021 19:55:36 GMT",True,"Tue, 09 Mar 2021 01:55:37 GMT",6620
0,380,76.0,200,558,"Mon, 08 Mar 2021 20:04:52 GMT",True,"Tue, 09 Mar 2021 05:22:52 GMT",11242
0,350,10.5,30,252,"Tue, 09 Mar 2021 17:07:22 GMT",True,"Tue, 09 Mar 2021 21:19:23 GMT",10808
0,1428,114.24,80,360,"Thu, 11 Mar 2021 03:17:24 GMT",True,"Thu, 11 Mar 2021 09:17:25 GMT",6620
0,350,10.5,30,252,"Thu, 11 Mar 2021 16:56:10 GMT",True,"Thu, 11 Mar 2021 21:08:11 GMT",10808
0,1428,114.24,80,360,"Thu, 11 Mar 2021 20:09:31 GMT",True,"Fri, 12 Mar 2021 02:09:32 GMT",6620
0,350,10.5,30,252,"Fri, 12 Mar 2021 17:07:27 GMT",True,"Fri, 12 Mar 2021 21:19:28 GMT",10808
0,258,72.24,280,1385,"Fri, 12 Mar 2021 19:19:59 GMT",True,"Sat, 13 Mar 2021 18:25:00 GMT",6140
0,274,65.76,240,778,"Fri, 12 Mar 2021 20:29:39 GMT",True,"Sat, 13 Mar 2021 09:27:40 GMT",10924
0,350,10.5,30,252,"Mon, 15 Mar 2021 15:45:54 GMT",True,"Mon, 15 Mar 2021 19:57:54 GMT",10808
0,380,76.0,200,558,"Mon, 15 Mar 2021 16:26:52 GMT",True,"Tue, 16 Mar 2021 01:44:52 GMT",11242
0,274,65.76,240,778,"Mon, 15 Mar 2021 16:31:01 GMT",True,"Tue, 16 Mar 2021 05:29:02 GMT",10924
0,1428,114.24,80,360,"Mon, 15 Mar 2021 19:54:01 GMT",True,"Tue, 16 Mar 2021 01:54:01 GMT",6620
0,350,10.5,30,252,"Tue, 16 Mar 2021 15:55:05 GMT",True,"Tue, 16 Mar 2021 20:07:06 GMT",10808
0,380,76.0,200,558,"Tue, 16 Mar 2021 17:19:32 GMT",True,"Wed, 17 Mar 2021 02:37:33 GMT",11242
0,274,65.76,240,778,"Wed, 17 Mar 2021 15:50:59 GMT",True,"Thu, 18 Mar 2021 04:49:00 GMT",10924
0,1428,114.24,80,360,"Wed, 17 Mar 2021 15:54:21 GMT",True,"Wed, 17 Mar 2021 21:54:21 GMT",6620
0,350,10.5,30,252,"Wed, 17 Mar 2021 16:14:40 GMT",True,"Wed, 17 Mar 2021 20:26:40 GMT",10808
0,380,76.0,200,558,"Wed, 17 Mar 2021 17:15:08 GMT",True,"Thu, 18 Mar 2021 02:33:08 GMT",11242
0,258,72.24,280,1385,"Wed, 17 Mar 2021 21:26:12 GMT",True,"Thu, 18 Mar 2021 20:31:13 GMT",6140
0,380,76.0,200,558,"Thu, 18 Mar 2021 16:31:36 GMT",True,"Fri, 19 Mar 2021 01:49:36 GMT",11242
0,1428,114.24,80,360,"Thu, 18 Mar 2021 19:10:40 GMT",True,"Fri, 19 Mar 2021 01:10:41 GMT",6620
0,274,65.76,240,778,"Fri, 19 Mar 2021 16:34:59 GMT",True,"Sat, 20 Mar 2021 05:33:00 GMT",10924
0,1428,114.24,80,360,"Fri, 19 Mar 2021 17:41:21 GMT",True,"Fri, 19 Mar 2021 23:41:21 GMT",6620
0,380,76.0,200,558,"Fri, 19 Mar 2021 18:56:26 GMT",True,"Sat, 20 Mar 2021 04:14:26 GMT",11242
0,380,76.0,200,558,"Mon, 22 Mar 2021 19:40:51 GMT",True,"Tue, 23 Mar 2021 04:58:52 GMT",11242
0,1428,114.24,80,360,"Mon, 22 Mar 2021 23:03:43 GMT",True,"Tue, 23 Mar 2021 05:03:44 GMT",6620
1,1428,114.24,80,824,"Mon, 22 Mar 2021 23:04:17 GMT",True,"Tue, 23 Mar 2021 12:47:44 GMT",6620
0,331,16.55,50,168,"Tue, 23 Mar 2021 18:17:38 GMT",True,"Tue, 23 Mar 2021 21:05:39 GMT",11920
0,1428,114.24,80,360,"Wed, 24 Mar 2021 15:00:17 GMT",True,"Wed, 24 Mar 2021 21:00:18 GMT",6620
0,274,65.76,240,778,"Wed, 24 Mar 2021 16:15:14 GMT",True,"Thu, 25 Mar 2021 05:13:14 GMT",10924
0,380,76.0,200,558,"Wed, 24 Mar 2021 17:58:00 GMT",True,"Thu, 25 Mar 2021 03:16:00 GMT",11242
0,274,65.76,240,778,"Wed, 24 Mar 2021 21:58:13 GMT",True,"Thu, 25 Mar 2021 10:56:13 GMT",10924
0,380,76.0,200,558,"Thu, 25 Mar 2021 17:40:00 GMT",True,"Fri, 26 Mar 2021 02:58:00 GMT",11242
0,1428,114.24,80,360,"Thu, 25 Mar 2021 17:50:20 GMT",True,"Thu, 25 Mar 2021 23:50:21 GMT",6620
0,274,65.76,240,778,"Fri, 26 Mar 2021 16:03:16 GMT",True,"Sat, 27 Mar 2021 05:01:17 GMT",10924
0,380,76.0,200,558,"Fri, 26 Mar 2021 16:59:18 GMT",True,"Sat, 27 Mar 2021 02:17:18 GMT",11242
0,1428,114.24,80,360,"Fri, 26 Mar 2021 17:36:32 GMT",True,"Fri, 26 Mar 2021 23:36:33 GMT",6620
0,258,72.24,280,1385,"Fri, 26 Mar 2021 23:50:53 GMT",True,"Sat, 27 Mar 2021 22:55:53 GMT",6140
0,1428,114.24,80,360,"Mon, 29 Mar 2021 17:45:40 GMT",True,"Mon, 29 Mar 2021 23:45:40 GMT",6620
0,380,76.0,200,558,"Mon, 29 Mar 2021 19:26:28 GMT",True,"Tue, 30 Mar 2021 04:44:28 GMT",11242
0,258,72.24,280,1385,"Tue, 30 Mar 2021 16:38:34 GMT",True,"Wed, 31 Mar 2021 15:43:35 GMT",6140
0,380,76.0,200,558,"Tue, 30 Mar 2021 17:43:08 GMT",True,"Wed, 31 Mar 2021 03:01:08 GMT",11242
0,380,76.0,200,558,"Wed, 31 Mar 2021 17:06:48 GMT",True,"Thu, 01 Apr 2021 02:24:49 GMT",11242
0,350,10.5,30,252,"Wed, 31 Mar 2021 17:18:16 GMT",True,"Wed, 31 Mar 2021 21:30:17 GMT",10808
0,1428,114.24,80,360,"Wed, 31 Mar 2021 22:27:00 GMT",True,"Thu, 01 Apr 2021 04:27:00 GMT",6620
0,380,76.0,200,558,"Thu, 01 Apr 2021 17:10:44 GMT",True,"Fri, 02 Apr 2021 02:28:44 GMT",11242
0,274,65.76,240,778,"Fri, 02 Apr 2021 16:25:47 GMT",True,"Sat, 03 Apr 2021 05:23:47 GMT",10924
0,380,76.0,200,558,"Fri, 02 Apr 2021 16:29:46 GMT",True,"Sat, 03 Apr 2021 01:47:46 GMT",11242
0,1428,114.24,80,360,"Fri, 02 Apr 2021 19:33:10 GMT",True,"Sat, 03 Apr 2021 01:33:11 GMT",6620
0,274,65.76,240,778,"Fri, 02 Apr 2021 22:10:32 GMT",True,"Sat, 03 Apr 2021 11:08:32 GMT",10924
0,380,76.0,200,558,"Mon, 05 Apr 2021 16:25:48 GMT",True,"Tue, 06 Apr 2021 01:43:48 GMT",11242
0,1428,114.24,80,360,"Mon, 05 Apr 2021 17:23:04 GMT",True,"Mon, 05 Apr 2021 23:23:04 GMT",6620
0,380,76.0,200,558,"Tue, 06 Apr 2021 18:15:33 GMT",True,"Wed, 07 Apr 2021 03:33:33 GMT",11242
0,1428,114.24,80,360,"Wed, 07 Apr 2021 15:56:21 GMT",True,"Wed, 07 Apr 2021 21:56:22 GMT",6620
0,380,76.0,200,558,"Wed, 07 Apr 2021 16:55:11 GMT",True,"Thu, 08 Apr 2021 02:13:12 GMT",11242
0,380,76.0,200,558,"Thu, 08 Apr 2021 16:42:19 GMT",True,"Fri, 09 Apr 2021 02:00:19 GMT",11242
0,380,76.0,200,558,"Fri, 09 Apr 2021 16:33:32 GMT",True,"Sat, 10 Apr 2021 01:51:32 GMT",11242
0,1428,114.24,80,360,"Mon, 12 Apr 2021 17:58:50 GMT",True,"Mon, 12 Apr 2021 23:58:50 GMT",6620
0,380,76.0,200,558,"Mon, 12 Apr 2021 19:54:57 GMT",True,"Tue, 13 Apr 2021 05:12:58 GMT",11242
0,1428,114.24,80,360,"Tue, 13 Apr 2021 18:18:10 GMT",True,"Wed, 14 Apr 2021 00:18:10 GMT",6620
0,310,43.4,140,461,"Tue, 13 Apr 2021 19:23:06 GMT",True,"Wed, 14 Apr 2021 03:04:06 GMT",3618
0,380,76.0,200,558,"Tue, 13 Apr 2021 19:59:47 GMT",True,"Wed, 14 Apr 2021 05:17:48 GMT",11242
0,380,76.0,200,558,"Wed, 14 Apr 2021 18:03:47 GMT",True,"Thu, 15 Apr 2021 03:21:47 GMT",11242
